post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments,source,num of followers
217,"Dec 5, 2023","Referred to as the ""gateway drug"" of data science, data visualization is an invaluable skill as it plays a crucial role in effective communication and storytelling with data. 📊

In this data visualization cheat sheet, learn about the most popular data visualizations to employ, when to use them, and their common use cases.

Download now for free 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
65,"Nov 28, 2023","Shell terminals, like Bash and zsh, are text-based user interfaces for interacting with an operating system.

Sometimes called ""the universal glue of programming,"" they allow you to input commands through a command line—offering direct communication with the system for tasks like file manipulation, program execution, and system control.

In our free cheat sheet, easily master the Bash and zsh terminal basics and unlock handy shortcuts to speed up your workflow when working with shell terminals. 🚀

Download now 👉🔗 in bio.",['Linux🔥🔥🔥👏👏👏'],['6w'],['coding2c'],['0'],1,datacamp,199000.0
94,"Dec 9, 2023","Seven tips to help you maximize your Year In Data and accelerate your learning into 2024. 👇

Have you seen your Year in Data? 🎓The brainchild of our product team, Year in Data is a chance to set new goals, explore courses, discover workspaces, and unlock insights from your learning data you did not know before.

👉 A glimpse of what your year could look like. 👉

#MyYearInData23 | Discover more, 🔗 in bio.",['I had no idea DataCamp tracks that. I’m gonna be top 5%. Saving this post'],['5w'],['delvecchiooo'],['1 like'],1,datacamp,199000.0
190,"Dec 14, 2023","This year was a watershed moment for AI.

Heading into 2024, equipping yourselves with AI skills and certifications has never been more advantageous for a career in tech.

Explore the best AI certifications for 2024—with a focus on career paths and how to choose the right program for you.

Read on to uncover:

💥 AI certification vs certificate
💥 Why choose AI certification?
💥 Exploring the best AI certifications for 2024
💥 Step-by-step guide to choosing the right AI certification
💥Preparing for AI certification with DataCamp

Discover more 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
137,"Dec 12, 2023","Our ultimate #SQL cheat sheet collection, all in one place. 👇

With resources designed for beginners to advanced practitioners, stay updated with the latest techniques and strategies to maximize your time on SQL.

From basic functions to joining data, window functions, and more—our free cheat sheets are packed with practical guides to accelerate your abilities.

Download now 👉 https://ow.ly/pqef50PkxjP",[],[],[],[],0,datacamp,199000.0
216,"Dec 22, 2023","As we close out 2023, we're delighted to share that over 1,059,000 people worldwide have received free DataCamp Premium scholarships. 🎉

Split across our two social impact programs, #DCClassrooms and #DCDonates, the scholarships provide unrestricted access to everything DataCamp Premium has to offer.

The mission is simple: enable free, world-class data and AI learning to those who need it most. Be it under-resourced or displaced communities, teachers, students, not-for-profit workers, and many more.

👉 Swipe for one such story from Fereshteh Forough, Founder and Executive Director, @CodeToInspire

Our new goal? Get to the next million people as quickly as possible. 🚀 Until then, have a safe and fun holiday season with your friends and family, and take care of one another as we arrive in 2024!

Discover more 👉 🔗 in bio.","['I applied for the scholarship but i didnt receive any response', 'We are so excited for this opportunity 🦋', '👏', '👏👏👏👏', 'I’m so proud of you @fereshtehforough 🔥🙌']","['3w', '3w', '3w', '3w', '3w']","['ahme.dleader', 'codetoinspire', 'omiguelsma', 'digitalbricks.ai', 'ehsanehrari']","['1 like', '2 likes', '1 like', '1 like', '2 likes']",5,datacamp,199000.0
176,"Dec 10, 2023","#Python is the world's most popular programming language, making it one of the most employable skills in data science.

So, what's the best way to learn Python from scratch?

Discover everything you need to know to begin your learning journey, including a step-by-step guide and learning plan, alongside valuable resources to help you succeed.

Including:

💥 What is Python?
💥 Why is learning Python so beneficial?
💥 How long does it take to learn Python?
💥 How to learn Python: 6 steps for success
💥 An example Python learning plan
💥 The top Python careers
💥 How to find a job with Python

And more. Read on: 👉 🔗 in bio.",['Really I hope to start learning python but I’m leazy 😂'],['5w'],['mahmoud_arafa90'],['1 like'],1,datacamp,199000.0
47,"Dec 19, 2023","Missed out on Black Friday? Do not despair—our End of Year Sale is live. 💥

The data and AI technology revolution will define how businesses operate in 2024. Ensure you have the skills to succeed by securing 50% off unlimited data and AI learning for 12 months.

Including:

📚 450+ courses in ChatGPT, Python, SQL, Power BI and more
💼 20+ skills and career tracks you can start from scratch
👩🏽‍💻 100+ real-life projects
🎓 Forbes' #1 data certification

Your skills, your future. Save now 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
35,"Nov 30, 2023","Introducing: Year In Data 2023, a celebration of your data journey. 🚀

Our mission is to empower data enthusiasts, learners, and professionals with the skills to thrive in a data and AI-driven future. #YearInData23 is a chance to reflect on your achievements in 2023, inspire your fellow learning community, and get motivated to reach higher goals in 2024.

📈 How does it work? From Dec 1, all DataCamp learners can access a visual representation of their entire 2023 data journey. Your unique insights will cover everything from XP earned and hours spent learning to key achievements such as certifications, courses completed, Workspaces built, and more.

Take advantage of an opportunity to share how far you've come, and what you could achieve next. 👊

Discover more 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
117,"Nov 21, 2023","Supercharge your Excel skills overnight with our Excel Shortcuts Cheat Sheet.

Productivity gains await.⚡From navigating worksheets to cell entry, text formatting, and more—master the ability never to leave your keyboard and maximize your time on the world's most popular spreadsheet software.

Download now for free 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
39,"Dec 15, 2023","Set new goals, explore courses, discover workspaces, and unlock insights that showcase your learning journey in a new light. 💡

The number of #MyYearInData23 responses has blown us away. If you haven't already, dive into your Year In Data 2023 journey and discover how to make the most of your data achievements. Including:

📊 Your personalized experience, how many hours of learning, the XP you've earned, and the distribution.

🚀 Set 2024 goals—define clear objectives to fuel your path of continuous learning and reach your ambitions.

🧑🏽‍💻 Uncover datasets and templates on Workspace with one click.

❤️ Share your success. One of the most rewarding aspects of your Year In Data is the opportunity to inspire others. Tag DataCamp with #MyYearInData23.

Discover more 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
366,"Nov 17, 2023","SQL is a crucial skill for any data practitioner. To extract the necessary data from a database for further manipulation and data analysis, you must have a good grasp of SQL.

In your journey towards SQL mastery, building SQL projects can help accelerate your current skills, develop new ones, and add valuable content to your data portfolio.

From new learners to seasoned practitioners, uncover portfolio-ready SQL projects available on DataCamp.

Dive in 👉 🔗 in bio.",['Yes!🔥'],['8w'],['alanarodriguezv'],['0'],1,datacamp,199000.0
131,"Nov 26, 2023","Essential reading: Whether you're a job hunter looking for a new opportunity to apply your SQL skills or a hiring manager preparing to interrogate a candidate—knowing common SQL interview questions and answers is vital.

Dive into 80 fundamental SQL questions and answers for beginners and intermediate practitioners to enable stronger interview preparation, alongside what to expect from your interviewer/interviewee.

Including:

💥 General SQL interview questions for beginners
💥 Technical SQL interview questions for beginners
💥 40 top intermediate SQL interview questions and answers

And more. Read on 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
34,"Dec 6, 2023","⏰ #CyberMonday: Final 48 Hours ⏰

Act now to save 50% on unlimited learning throughout 2024.

Data and AI will define the future of work; ensure you have the skills to thrive for years to come.

📚 450+ courses across ChatGPT, Python, SQL, Power BI and more
💼 20+ skills and career tracks you can start from scratch
🎓 Forbes' #1 data certification

And much more. Claim now 👉🔗 IN BIO.",[],[],[],[],0,datacamp,199000.0
107,"Dec 21, 2023","Learn the fundamentals of working with large language models and build a data-analyzing bot. 🤖

Master vital AI skills in 1-2 hour code-alongs. 🚀 While #ChatGPT is wildly popular for non-technical use cases, GPT (the AI that powers ChatGPT) offers vast potential in programming and automation tasks via the #OpenAI API.

Explore how to set up an OpenAI developer account, integrate it with Workspace, hold a conversation with GPT using Python and LangChain, and develop a proof of concept for an automated data analysis system. 📈

Free for a limited time. Start now 👉 https://ow.ly/ztnn50QkAxE

Explore all free sessions on @huggingface_ai, @LangChainAI, and #Pinecone in our AI Developer Series.

🔗 in bio.",[],[],[],[],0,datacamp,199000.0
62,"Dec 4, 2023","The demand for certified @_snowflake_inc professionals is rising, with organizations seeking professionals who can harness the full potential of this cloud data platform.

Whether you are taking your first steps into Snowflake or are an experienced practitioner seeking to formalize your skills, certifications can accelerate your professional trajectory without breaking the bank.

Explores the top Snowflake certifications for professional growth in 2024, including:

💥 Certificates vs. certifications: What’s the difference?
💥 An overview of Snowflake certifications
💥 The best foundational level snowflake certification
💥 The best advanced-level snowflake certifications
💥 Snowflake certification comparison table
💥 How DataCamp can help you achieve Snowflake certification

Discover more 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
32,"Nov 16, 2023","Gain a comprehensive overview of the challenges and best practices associated with deploying Large Language Models into production environments—with a particular focus on leveraging GPU resources efficiently.

Ronen Dar, Co-founder and CTO at Run:ai, explores optimizing AI model training to reduce costs, facilitating the adoption of AI technologies across diverse business scales.

Key takeaways:

💥 Discover how to get AI into production successfully.
💥 Learn to train models cheaply and efficiently.
💥 Explore GPUs and learn how to use them effectively.

⏰ Thurs, Nov 23, 🔗 in bio to register.",['It’s all about putting things into production! Love this! ❤️❤️❤️'],['8w'],['credslife_'],['0'],1,datacamp,199000.0
29,"Dec 7, 2023","Running an organization-wide data literacy training program is a challenge. You need to match roles to the skills employees need to learn, market your training, and find ways to maintain engagement.

Ed Barker, L&D Lead at GM Defense, discusses the challenges and successes of the program, along with practical tips for how to scale training at your organization and the transformative benefits of having data literate employees across your organization.

Key takeaways:

💥 Learn how to run an effective data training program.
💥 Maintain engagement with online learning.
💥 Why widespread data literacy will benefit your organization.

⏰ Weds, Dec 13, 🔗 in bio to register.",[],[],[],[],0,datacamp,199000.0
45,"Nov 25, 2023","🤑 #BlackFriday extension: Final chance to save 50% on unlimited learning.

Unlock 450+ courses, projects, and certifications across the world's most in-demand data and AI skills.

Your future self will thank you. Save now, 🔗 in bio.",['It’s the same price as two weeks ago.'],['6w'],['sl8onc'],['0'],1,datacamp,199000.0
28,"Dec 1, 2023","Building a high-functioning product team is only possible with a strong data culture. 📈

@stefaniabje, Co-founder & CEO at @avohq, explores building a culture where getting valuable insights is effective for everyone involved and much more.

Key takeaways:

💥 Your data is a product with stakeholders.
💥 Include your stakeholders early in the process.
💥 Make analytics a part of the product release cycle.

⏰ Fri Dec 8, 🔗 in bio to register.",[],[],[],[],0,datacamp,199000.0
71,"Dec 13, 2023","Everything you need to know about getting started with GPT-4 Vision.👇

In September 2023, OpenAI announced this multi-modal capability to #ChatGPT, which can now see, hear, and speak, indicating new image and voice capabilities rolled out to ChatGPT.

When perfected, it's predicted to unlock endless innovations across industries. 🚀

In this tutorial, we will introduce the image capabilities and understand the GPT-4 Vision model, which enables the ChatGPT to ""see.""

Including:

💥 What is GPT-4 Vision?
💥 Hands-on: getting started with GPT-4 Vision
💥 GPT-4 Vision real-world use-cases and examples
💥 Limitations and mitigating risks of GPT-4 Vision

Start now 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
37,"Nov 27, 2023","⚡️ #CyberMonday is live: Unlock everything DataCamp has to offer at half the price. 🤯

👩🏽‍💻 Master the world's most in-demand data and AI skills with interactive learning paths for all levels.

As AI's influence grows in our data-driven world, having the skills to leverage evolving technologies and make informed, data-driven decisions will only become more vital in 2024.

📚 Choose from 450+ courses, 20+ skill and career tracks, 100+ real-world projects, a new AI curriculum, industry-leading certifications, and more.

Join the upskilling revolution and take control of your professional future.

Save now, 🔗 in bio.",['Trying to subscribe and make payment but system failing. Kindly assist as per DM shared.'],['6w'],['liyandza'],['0'],1,datacamp,199000.0
100,"Dec 3, 2023","Dive into the world of Open Source Large Language Models (LLMs) with five new tutorials.

From fine-tuning LlaMa 2 and FLAN-T5 to exploring the capabilities of Falcon 40B and Vicuna-13B, these guides are designed to enhance your AI skills.

Open-source models are predicted to become increasingly favored by enterprises in the coming year. Upskilling in key LLMs like LlaMa 2, FLAN-T5, Falcon 40B, Vicuna-13B, and Mistral 7B will equip data practitioners with a competitive edge in the job market in 2024 and beyond.

Build in-demand skills with a free tutorial:

1️⃣ FLAN-T5: A Guide to Fine-Tuning: https://ow.ly/fZCe50QeGV4
2️⃣ Falcon 40B: Architecture, Training Data & Features: https://ow.ly/fbiK50QeGV5
3️⃣ Vicuna-13B: A Guide to running Vicuna-13B: https://ow.ly/gY2e50QeGV6
4️⃣ Fine-Tuning LlaMa 2: A Guide to Customizing the LLM: https://ow.ly/OgSQ50QeGV2
5️⃣ Mistral 7B: https://ow.ly/qoE550QeGV3",['Open source for the win!! 👏👏👏'],['5w'],['credslife_'],['0'],1,datacamp,199000.0
